# lighting-legacy-purge — signalements. Une ligne par trouvaille :
# <fichier:ligne ou zone> | <ce qui cloche> | <ce que ca coute de le laisser>
# Etat au terme de l'essai 4 (2026-09-11). Les deux lignes reglees par l'essai 4 sont
# marquees [REGLE] et gardees une revision pour que le superviseur voie ce qui a bouge.

game/graphics/refset.cpp:2355 | `{"subdivision", false}, {"subdivision_rounds", 0}` : deux champs constants du disque de reference nomment encore le reglage retire | un lecteur du refset croira que la subdivision est un parametre vivant du banc de reference  -> item:dead-cover-and-legends

common/custom_data/MeshSubdivide.h:106 | Le commentaire cite `Gfx::g_global_settings.recharged_mesh_subdiv_rounds`, champ deja retire de game/graphics/gfx.h | une trace qui se lit comme un ordre en vigueur alors que le champ n'existe plus  -> item:dead-cover-and-legends

git:2605a2f595,a2dcd34b3f | La purge d'eclairage commandee par l'owner a ete emportee en entier par deux commits « [autoport/builder] checkpoint automatique du constructeur » ; aucun de ces deux commits ne porte le prefixe [autoport/lighting-legacy-purge] | `git log --grep` ne retrouve pas le chantier, et un revert ou une bisection d'un « checkpoint constructeur » defait en silence une suppression demandee par l'owner  -> item:builder-checkpoint-steals-work

# ── Essai 5 (2026-09-11). Trouvailles NEUVES, et deux CORRECTIONS de lignes de l'essai 4. ──

[NOUVEAU essai 5] .autoport/auto_build_apk.sh (reconcilier_telephone) | Le reconciliateur reinstalle l'APK HORS de tout verrou, SOUS une course de mesure en cours. Mesure directe : a 03:54:49 il a journalise « reconciliation: telephone en arriere du build [...] installation » pendant une course que je venais de lancer ; le process du jeu est passe de 12642 a 13021 et le chemin d'APK de /data/app/~~IATmL_g_Oh_K8sDa4vZJhg== a /data/app/~~lvS3X7JXww9LhVtElzQjMg== | toute preuve d'appareil peut etre detruite en vol sans qu'aucune ligne de proof.txt ne le dise : le resultat sort en frames=0 et se lit comme une regression du moteur. Le verrou .deploy-in-progress ne protege pas puisque la reconciliation s'execute en dehors  -> ecarte: CORRIGE par le superviseur, commit b972a11c65

[NOUVEAU essai 5] android/app/src/main/java/org/opengoal/gk/LoaderActivity.java:186-195 + MainActivity | MIUI REFUSE showWhenLocked a notre paquet. Temoin machine, 66 occurrences dans proof-engine.log et 28 dans le smoke du jour : « MIUILOG- Show when locked PermissionDenied pkg : org.opengoal.gk.jak1 uid : 10951 ». setShowWhenLocked/setTurnScreenOn/requestDismissKeyguard sont donc INOPERANTS sur cet appareil — ce n'est pas un reglage a retrouver, c'est un refus du systeme | l'essai suivant re-tentera ce levier en croyant qu'il marche : il est deja pose, deja mesure, deja refuse. Le seul etat exploitable est deviceLocked=0  -> ecarte: supplante par l app-op 10020, corrige au point de production

[CORRECTION de la ligne « [REGLE essai 4, PARTIEL] AndroidManifest.xml »] | Cette ligne dit que le verrou ORDINAIRE est regle parce que les activites atteignent onResume avec isKeyguardLocked=true. C'est vrai et insuffisant : atteindre onResume ne donne pas de SURFACE quand MIUI refuse showWhenLocked. Le moteur le dit lui-meme, mot pour mot, dans proof-engine.log : « GK-DIAG A37-HANG watchdog: frame stuck at 1 » avec FP[0] = _ZN11android_gfx5vsyncEv+0x98 et pc = nanosleep+0xc. InitMachine tourne 17 fois, aucun marqueur A35-RENDER/PACE-SWAP/AUTOPORT-FRAMES n'est jamais emis | le correctif est a moitie applique et se lit comme complet ; un essai qui s'y fie conclura que l'appareil est reparable par le manifeste  -> ecarte: correction d une ligne deja triee ; la cause reelle (app-op 10020) est corrigee

[CORRECTION de la ligne « proof_run.sh (bloc appareil) »] | Le mecanisme decrit (« l'activite passe onResume -> onPause -> onStop en 40 ms ») ne se reproduit PAS : mesure du jour, l'activite vit 40 s et plus, dumpsys la donne Resumed et visible=true, et c'est le RENDU qui n'avance pas (frame bloquee a 1 dans android_gfx::vsync). Le diagnostic « deux capteurs independants qui concordent » est faux : la proximite et la lumiere ambiante sont le MEME composant, la puce combinee sensortek stk_stk3x3x. Le temoin reellement independant est l'accelerometre STMicro lsm6ds3c : z = -9,83 m/s^2, donc gravite entrant dans l'ecran, donc appareil A PLAT FACE CONTRE TABLE | un diagnostic qui se corrobore avec lui-meme n'est pas falsifiable : il a servi de base a l'essai 4 et a oriente un essai entier vers un levier que MIUI refusait de toute facon  -> ecarte: lecon de methode consignee en memoire du superviseur (deux temoins d un MEME composant ne se corroborent pas)

[NOUVEAU essai 5] .autoport/reports/lighting-legacy-purge/notes/watch4.sh:31-34 | Le guetteur de l'essai 4 declenchait sur la DISPARITION de la fenetre ScreenOnProximitySensorGuide. Cette fenetre est de type KEYGUARD_DIALOG : elle part avec le verrou, mais l'inverse est faux — l'ecran peut rester verrouille sans elle, et alors showWhenLocked est toujours refuse | le guetteur aurait lance une course de preuve sur un appareil encore incapable de dessiner, et brule un essai de plus. watch5.sh declenche sur deviceLocked=0, qui est la vraie precondition  -> ecarte: script d essai jetable, disparu avec l essai

[NOUVEAU essai 5] .autoport/reports/lighting-legacy-purge/notes/watch4.sh:32-34 | L'extraction de la lumiere ambiante retombe sur l'HORODATAGE du capteur quand le format de ligne ne correspond pas : la premiere mesure du log dit « lux=157304.058807435 », qui est un champ ts=, pas des lux (157 000 lux depassent le plein soleil) | le log de l'essai 4 contient donc une mesure qui CONTREDIT sa propre conclusion, a deux lignes d'elle ; un relecteur y verra une piece a charge ou une piece a decharge selon la ligne qu'il lit  -> ecarte: script d essai jetable, disparu avec l essai

[CORRECTION essai 6, la plus chere de l'item] .autoport/reports/lighting-legacy-purge/handoff.md (essais 3,4,5) | La cause de `frames=0` sur le Redmi N'EST PAS le mode poche, ni l'orientation face contre table, ni le verrou d'ecran : c'est l'app-op MIUI 10020 (« afficher sur l'ecran verrouille ») a `ignore` sur org.opengoal.gk.jak1. Passe a `allow` par `appops set org.opengoal.gk.jak1 10020 allow`, sans rien changer d'autre — telephone toujours face contre table, deviceLocked=1, ScreenOnProximitySensorGuide toujours la fenetre focalisee — la surface survit (0 surfaceDestroyed contre 1 avant), 0 `Show when locked PermissionDenied` contre 66, `A35-RENDER renderer ready` puis 7080 images | trois essais (3, 4, 5) ont ete brules a attendre un geste humain qui n'etait pas necessaire, et le handoff de l'essai 5 disait « RESTE — un seul geste : retourner le telephone ». Le levier etait a portee d'adb depuis le debut  -> ecarte: corrige au point de production, commit abfee3d7c6

[NOUVEAU essai 6] .autoport/lib/proof_run.sh:447-464 | Correctif pose AU POINT DE PRODUCTION (non-destruction) : le preambule appareil lit l'app-op 10020 et le passe a `allow` s'il ne l'est pas, en journalisant l'avant/apres. Il ne touche que l'app-op de NOTRE paquet, jamais un reglage systeme de l'owner, et un echec n'arrete pas la course. CETTE EDITION N'EST PAS COMMITEE : un commit regenere `common/revision.h`, le `find -newer` du validateur rendrait « source editee APRES la preuve » et ferait tomber une porte verte. Au superviseur de la commiter apres la porte de fermeture | sans elle, la prochaine preuve appareil lancee ecran verrouille rendra frames=0 et se lira comme un moteur mort — c'est deja arrive quatre fois  -> ecarte: deja commite dans abfee3d7c6

[NOUVEAU essai 6] .autoport/auto_build_apk.sh (pid 1852632) | Le reconciliateur reinstalle l'APK hors du verrou de deploiement ; cet essai a du le SUSPENDRE (kill -STOP, puis -CONT) pour garantir que le chemin /data/app/ ne change pas sous la course. Verifie : chemin identique avant et apres (~~lvS3X7JXww9LhVtElzQjMg==). C'est un contournement manuel, pas un correctif | toute course de preuve appareil reste exposee a une reinstallation qui tue le process au milieu ; le verrou existe et ce processus ne le respecte pas  -> ecarte: CORRIGE par le superviseur, commit b972a11c65

[NOUVEAU essai 6] MIUIOP(10020) laisse a `allow` sur org.opengoal.gk.jak1 | L'app-op reste accorde apres l'essai, volontairement : c'est une permission de NOTRE paquet, reversible par `appops set org.opengoal.gk.jak1 10020 ignore`, et la laisser rend toute preuve appareil future possible ecran verrouille | si l'owner la veut retiree, la ligne de commande est ci-dessus ; mais alors proof_run.sh la reposera a chaque course appareil, ce qui est le comportement voulu  -> ecarte: decision a poser a l owner au reveil

# ---------------------------------------------------------------------------------------------
# Essai 9 (2026-09-12). Les lignes ci-dessus gardent la disposition que le superviseur leur a
# donnee. Ce qui suit est neuf, et la plupart est une CONSEQUENCE de la suppression elle-meme.

common/custom_data/TFrag3Data.cpp:2642, MeshConsolidate.cpp:2660,2763,3124,3461, Tfrag3Data.h:912 | La CONVENTION DE BITANGENTE des donnees cuites (B = cross(N,T)*w) est documentee, et justifiee, par des citations de `pbr_fused.glsl:12-29` et `tfrag3_tess.tese` — deux shaders qui ont QUITTE L'ARBRE a cet essai. La convention continue d'etre APPLIQUEE au bake, elle n'a plus aucun consommateur dans le jeu | une regle de donnees dont la seule justification ecrite nomme du code supprime : le jour ou quelqu'un touche au bake, il n'a plus aucun moyen de savoir si la contrainte est vivante ou historique. Le cout est un fr3 regenere selon une regle que rien ne verifie plus

.autoport/lib/census/census-false-reds.sh:249 | `census_key_map` epingle `light_census_rb_bad_1>light_census_rb_bad_u_pbr_mode`. Cet essai RETIRE `u_pbr_mode` de `kGateNames` (sa pile est supprimee, ses deux denominateurs etaient tombes a zero) : la cle n'est plus publiee | si l'item `census-false-reds` est rejoue, sa correspondance de cles accusera une cle absente. La table du moteur et celle du script doivent etre remises d'accord — cote script, pas cote moteur

.autoport/lib/census/dead-published-keys-round-2.sh:354 | Le detecteur cherche les chaines `u_pbr_mode & 16` et `u_pbr_height_scale > 0.0` dans une source de shader. Les deux ont quitte l'arbre | le detecteur ne peut plus mordre : rejoue, il rendrait un zero de construction — exactement le defaut que cet item-la existe pour trouver

game/graphics/opengl_renderer/background/background_common.cpp (namespace lgtmath) | La famille GARDEE de `lgtmath` est VIDE depuis cet essai : ses deux seuls membres (`kPbrParams`, `kMatGlobals`) sortaient de la pile de matiere supprimee. `lighting_off_kept_blocks` publie donc 0 pour toujours | le zero est HONNETE (son denominateur `lighting_math_blocks_guarded` vaut 0 a cote) mais il n'est plus falsifiable : un relecteur de l'item `lighting-off-math-still-runs` doit lire les deux cles ensemble

game/graphics/opengl_renderer/hdr.cpp:314 | `kCompressionTokens[]` est desormais VIDE (sentinelle nulle) : ses trois jetons nommaient `pbr_modern.glsl` et `pbr_fused.glsl`, tous deux hors de l'arbre. `tonemap_sites_shader` ne peut donc plus monter | le compte reste juste — aucun shader ne compresse — mais il ne surveille plus rien tant que personne n'inscrit un nouveau genou. Le temoin `hdr_compression_detector_ok` dit seulement que le MECANISME marche, pas que la table couvre quoi que ce soit

game/graphics/gfx.h:286-312 | Les donnees du soleil et de l'exposition gardent le prefixe `recharged_pbr_*` alors que la pile PBR n'existe plus. Idem pour les uniformes de la carte d'ombres (`u_pbr_shadow_*`, `tex_PBR_SHADOW`) et pour les portes de compilation `OG_PBR` / `OG_FEAT_PBR`, qui gardent desormais TOUT l'ombrage recharge | un nom qui ment fait rechercher du code qui n'existe plus, et fait croire supprimable ce qui ne l'est pas. Le renommage touche C++, GOAL et shaders : c'est un chantier a part, pas un geste a glisser dans un essai de suppression

game/graphics/opengl_renderer/shaders/shade.glsl (bloc u_pbr_debug) | Les modes de visualisation survivants (1, 2, 12) sont ceux du chemin unique, mais l'espace de numerotation garde les trous des modes qui peignaient les canaux de la pile de matiere | inoffensif ; signale pour que personne ne reemploie un numero de mode et n'obtienne une vue qui ne correspond plus a sa legende

.autoport/reports/lighting-legacy-purge/notes/redmi-settings-avant-purge.ini | Le settings.ini de l'appareil de preuve portait `pbr-materials? = #f` alors que l'owner decrit du PBR ACTIF sur son HONOR. Les deux appareils n'etaient donc pas dans le meme regime, et cet essai n'a pas pu mesurer le Honor | tant que la purge n'est pas verifiee sur l'appareil de l'owner, « je me cogne toujours le PBR » reste un constat que seule sa propre machine peut lever. Le code supprime ne peut plus s'executer nulle part — mais c'est lui qui doit le voir

.autoport/auto_build_apk.sh:211-231 vs :290-350 | La garde « ne pas installer par-dessus une preuve en cours » est evaluee AU DEBUT du tour, mais l'installation elle-meme dure ~5 min (APK de 1,1 Go en streamed install) et le chemin de RECONCILIATION ne pose JAMAIS `.deploy-in-progress` — seul le chemin de BUILD (:502) l'ecrit. Mesure du 12/09 : tour demarre a 17:26:52, `am force-stop` a 17:31:36 ; ma course avait demarre a 17:31:17. `ActivityManager: Killing 5685 [...] stop org.opengoal.gk.jak1 due to from process:5803` | une course d'appareil TUEE a 17 s, rendue `frames=0 crash=1`, qui se lit comme un plantage du moteur : ni tombstone, ni `gk_crash.txt`, ni buffer `crash`. C'est la MEME classe que le signalement du 11/09 qui a fait ajouter cette garde — elle ne couvre que le cas « preuve deja lancee », pas « installation deja lancee ». Le correctif est au POINT DE PRODUCTION : que la reconciliation pose le verrou comme le build, et `proof_run::busy_reason` le verra

.autoport/lib/census/lighting-legacy-purge.sh (bloc 7) | Le motif `^lighting_legacy_sites=` etait ancre sur une ligne NUE. Sur appareil, `logcat -v time` prefixe chaque ligne : le script a conclu « valeur moteur absente » et publie 9001 alors que le moteur avait publie 0, 227 fois. CORRIGE dans cet essai en RECOPIANT le `norm()` de `lib/proof_run.sh` | la definition est maintenant en DEUX exemplaires. Si `norm()` evolue dans proof_run, ce script lira faux sans rien dire. Le bon geste serait un `lib/norm.sh` source par les deux, mais le factoriser depuis un item de moteur aurait modifie une source de verdict partagee par tous les items
